disease_id	external_id	source	url	name
DISEASE:109	D000387	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D000387	Ainhum
DISEASE:110	D000402	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D000402	Airway Obstruction
DISEASE:111	D000405	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D000405	Akinetic mutism
DISEASE:112	52	Orphanet	https://www.orpha.net/en/disease/detail/52	Alagille Syndrome
DISEASE:113	D000417	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D000417	Albinism
DISEASE:114	D016117	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D016117	Albinism, Ocular
DISEASE:115	55	Orphanet	https://www.orpha.net/en/disease/detail/55	Albinism, Oculocutaneous
DISEASE:116	D000419	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D000419	Albuminuria
DISEASE:117	D000425	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D000425	Alcohol amnestic disorder
DISEASE:118	D000425	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D000425	Alcohol amnestic syndrome NOS
DISEASE:119	D005235	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D005235	Alcoholic fatty liver
DISEASE:120	D020269	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D020269	Alcoholic polyneuropathy
DISEASE:121	D011604	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D011604	Alcoholic psychosis NOS
DISEASE:122	PA166048857	PharmGKB	https://www.pharmgkb.org/disease/PA166048857	Alcohol-Induced Disorders, Nervous System
DISEASE:123	D000437	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D000437	Alcoholism
DISEASE:124	D019973	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D019973	Alcohol-Related Disorders
DISEASE:125	D000430	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D000430	Alcohol Withdrawal Delirium
DISEASE:126	D020270	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D020270	Alcohol Withdrawal Seizures
DISEASE:127	D000453	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D000453	Aleutian disease
DISEASE:128	58	Orphanet	https://www.orpha.net/en/disease/detail/58	Alexander Disease
DISEASE:129	D000471	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D000471	Alkalosis
DISEASE:130	56	Orphanet	https://www.orpha.net/en/disease/detail/56	Alkaptonuria
DISEASE:131	488	Orphanet	https://www.orpha.net/en/disease/detail/488	Allantoic cyst
DISEASE:132	D000542	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D000542	Allergic extrinsic alveolitis NOS
DISEASE:133	D011695	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D011695	Allergic purpura NOS
DISEASE:134	D021183	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D021183	Allergy to peanuts
DISEASE:135	D021182	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D021182	Allergy to wheat
DISEASE:136	D000505	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D000505	Alopecia
DISEASE:137	D000506	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D000506	Alopecia Areata
DISEASE:138	D000507	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D000507	Alopecia mucinosa
DISEASE:139	60	Orphanet	https://www.orpha.net/en/disease/detail/60	alpha 1-Antitrypsin Deficiency
DISEASE:140	D007161	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D007161	Alpha heavy chain disease, enteric form
DISEASE:141	846	Orphanet	https://www.orpha.net/en/disease/detail/846	alpha-Thalassemia
DISEASE:142	D004368	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D004368	Alveolar periostitis
DISEASE:143	163699	Orphanet	https://www.orpha.net/en/disease/detail/163699	Alveolar soft part sarcoma
DISEASE:144	D004368	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D004368	Alveolitis of jaw NOS
DISEASE:145	D000544	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D000544	Alzheimer Disease
DISEASE:146	D020757	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D020757	Amaurosis Fugax
DISEASE:147	D000550	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D000550	Amblyopia
DISEASE:148	D000562	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D000562	Amebiasis NOS
DISEASE:149	88661	Orphanet	https://www.orpha.net/en/disease/detail/88661	Amelogenesis Imperfecta
DISEASE:150	D000568	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D000568	Amenorrhea
DISEASE:151	D000647	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D000647	Amnesia
DISEASE:152	D000648	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D000648	Amnesia, Retrograde
DISEASE:153	D000652	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D000652	Amniotic Band Syndrome
DISEASE:154	D004404	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D004404	Amoebic dysentery
DISEASE:155	D008101	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D008101	Amoebic liver abscess
DISEASE:156	D000671	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D000671	amputation
DISEASE:157	D017772	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D017772	Amyloid Neuropathies
DISEASE:158	69	Orphanet	https://www.orpha.net/en/disease/detail/69	Amyloidosis
DISEASE:159	D028226	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D028226	Amyloidosis, Familial
DISEASE:160	803	Orphanet	https://www.orpha.net/en/disease/detail/803	Amyotrophic Lateral Sclerosis
DISEASE:161	D005401	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D005401	Anal ulcer unspecified
DISEASE:162	PA166123554	PharmGKB	https://www.pharmgkb.org/disease/PA166123554	anaphylactoid reaction
DISEASE:163	D000707	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D000707	Anaphylaxis
DISEASE:164	D000708	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D000708	Anaplasia
DISEASE:165	PA166048833	PharmGKB	https://www.pharmgkb.org/disease/PA166048833	Ancylostomiasis
DISEASE:166	D050030	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D050030	Andersen Tawil syndrome
DISEASE:167	754	Orphanet	https://www.orpha.net/en/disease/detail/754	Androgen-Insensitivity Syndrome
DISEASE:168	D000740	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D000740	Anemia
DISEASE:169	D000741	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D000741	Anemia, Aplastic
DISEASE:170	124	Orphanet	https://www.orpha.net/en/disease/detail/124	Anemia, Diamond-Blackfan
DISEASE:171	D000743	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D000743	Anemia, Hemolytic
DISEASE:172	PA165857066	PharmGKB	https://www.pharmgkb.org/disease/PA165857066	Anemia, Hemolytic, Congenital Nonspherocytic
DISEASE:173	PA166048920	PharmGKB	https://www.pharmgkb.org/disease/PA166048920	Anemia, Hypochromic
DISEASE:174	D018798	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D018798	Anemia, Iron-Deficiency
DISEASE:175	D000749	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D000749	Anemia, Megaloblastic
DISEASE:176	D000752	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D000752	Anemia, Pernicious
DISEASE:177	98826	Orphanet	https://www.orpha.net/en/disease/detail/98826	Anemia, Refractory
DISEASE:178	86839	Orphanet	https://www.orpha.net/en/disease/detail/86839	Anemia, Refractory, with Excess of Blasts
DISEASE:179	232	Orphanet	https://www.orpha.net/en/disease/detail/232	Anemia, Sickle Cell
DISEASE:180	1047	Orphanet	https://www.orpha.net/en/disease/detail/1047	Anemia, Sideroblastic
DISEASE:181	D000757	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D000757	Anencephaly
DISEASE:182	D000782	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D000782	Aneuploidy
DISEASE:183	D000783	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D000783	Aneurysm
DISEASE:184	D017824	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D017824	Aneurysmal bone cyst
DISEASE:185	D000784	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D000784	Aneurysm, Dissecting
DISEASE:186	D006322	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D006322	Aneurysm of heart NOS
DISEASE:187	D017543	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D017543	Aneurysm of iliac artery NOS
DISEASE:188	72	Orphanet	https://www.orpha.net/en/disease/detail/72	Angelman Syndrome
DISEASE:189	D000787	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D000787	Angina Pectoris
DISEASE:190	D000789	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D000789	Angina, Unstable
DISEASE:191	D000799	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D000799	Angioedema
DISEASE:192	D018322	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D018322	Angiofibroma
DISEASE:193	D000793	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D000793	Angioid Streaks
DISEASE:194	D007119	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D007119	Angioimmunoblastic T-cell lymphoma
DISEASE:195	D000794	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D000794	Angiokeratoma
DISEASE:196	D018206	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D018206	Angiolipoma
DISEASE:197	D018207	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D018207	Angiomyolipoma
DISEASE:198	PA166181209	PharmGKB	https://www.pharmgkb.org/disease/PA166181209	angioplasty
DISEASE:199	D015783	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D015783	Aniridia
DISEASE:200	D000839	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D000839	Aniseikonia
DISEASE:201	D015858	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D015858	Anisometropia
DISEASE:202	D000844	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D000844	Ankylosis
DISEASE:203	1077	Orphanet	https://www.orpha.net/en/disease/detail/1077	Ankylosis of tooth
DISEASE:204	99797	Orphanet	https://www.orpha.net/en/disease/detail/99797	Anodontia
DISEASE:205	D000853	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D000853	Anophthalmos
DISEASE:206	D000855	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D000855	Anorexia
DISEASE:207	D000856	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D000856	Anorexia Nervosa
DISEASE:208	D000858	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D000858	Anovulation
DISEASE:209	D000860	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D000860	Anoxia
DISEASE:210	D011052	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D011052	Anterior acute poliomyelitis
DISEASE:211	D020759	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D020759	Anterior spinal artery occlusion syndrome
DISEASE:212	D000874	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D000874	Anthracosilicosis
DISEASE:213	D000881	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D000881	Anthrax
DISEASE:214	D020132	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D020132	Anticipation, Genetic
DISEASE:215	D019867	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D019867	Anti-Glomerular Basement Membrane Disease
DISEASE:216	D016736	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D016736	Antiphospholipid Syndrome
DISEASE:217	D000987	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D000987	Antisocial personality disorder
DISEASE:218	PA166048729	PharmGKB	https://www.pharmgkb.org/disease/PA166048729	Anuria
DISEASE:219	D001006	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D001006	Anus, Imperforate
DISEASE:220	D001005	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D001005	Anus Neoplasms
