entity_id	external_id	source	url	name
PROTEIN:12181	Q8NGS8	UniProt	https://www.uniprot.org/uniprot/Q8NGS8	Olfactory receptor 13C5 (Olfactory receptor OR9-11)
PROTEIN:12182	Q8NGS7	UniProt	https://www.uniprot.org/uniprot/Q8NGS7	Olfactory receptor 13C8
PROTEIN:12183	Q8NGT0	UniProt	https://www.uniprot.org/uniprot/Q8NGT0	Olfactory receptor 13C9 (Olfactory receptor OR9-13)
PROTEIN:12184	Q8NGV5	UniProt	https://www.uniprot.org/uniprot/Q8NGV5	Olfactory receptor 13D1 (Olfactory receptor OR9-15)
PROTEIN:12185	Q8NGS4	UniProt	https://www.uniprot.org/uniprot/Q8NGS4	Olfactory receptor 13F1 (Olfactory receptor OR9-6)
PROTEIN:12186	Q8NGZ3	UniProt	https://www.uniprot.org/uniprot/Q8NGZ3	Olfactory receptor 13G1 (Olfactory receptor OR1-37)
PROTEIN:12187	Q8NG92	UniProt	https://www.uniprot.org/uniprot/Q8NG92	Olfactory receptor 13H1 (Olfactory receptor ORX-1)
PROTEIN:12188	Q8NGT2	UniProt	https://www.uniprot.org/uniprot/Q8NGT2	Olfactory receptor 13J1 (Olfactory receptor OR9-2)
PROTEIN:12189	Q8NGT7	UniProt	https://www.uniprot.org/uniprot/Q8NGT7	Olfactory receptor 2A12 (Olfactory receptor OR7-10)
PROTEIN:12190	Q96R47	UniProt	https://www.uniprot.org/uniprot/Q96R47	Olfactory receptor 2A14 (OST182)
PROTEIN:12191	A4D2G3	UniProt	https://www.uniprot.org/uniprot/A4D2G3	Olfactory receptor 2A25 (Olfactory receptor 2A27)
PROTEIN:12192	Q8NHA4	UniProt	https://www.uniprot.org/uniprot/Q8NHA4	Olfactory receptor 2AE1 (Olfactory receptor 2AE2)
PROTEIN:12193	Q9H205	UniProt	https://www.uniprot.org/uniprot/Q9H205	Olfactory receptor 2AG1 (HT3)
PROTEIN:12194	A6NM03	UniProt	https://www.uniprot.org/uniprot/A6NM03	Olfactory receptor 2AG2
PROTEIN:12195	Q8NG84	UniProt	https://www.uniprot.org/uniprot/Q8NG84	Olfactory receptor 2AK2 (Olfactory receptor 2AK1)
PROTEIN:12196	Q8NGE2	UniProt	https://www.uniprot.org/uniprot/Q8NGE2	Olfactory receptor 2AP1 (Olfactory receptor OR12-9)
PROTEIN:12197	A6NND4	UniProt	https://www.uniprot.org/uniprot/A6NND4	Olfactory receptor 2AT4 (Olfactory receptor OR11-265)
